cuadro,categoria,region,valor
Principales aperturas,Salud,GBA,8.799999999999999
Principales aperturas,Salud,Pampeana,8.200000000000001
Principales aperturas,Salud,Noreste,5.3
Principales aperturas,Salud,Noroeste,6.3
Principales aperturas,Salud,Cuyo,7.3999999999999995
Principales aperturas,Salud,Patagonia,5.0
Principales aperturas,"Productos medicinales, artefactos y equipos para la salud",GBA,3.9
Principales aperturas,"Productos medicinales, artefactos y equipos para la salud",Pampeana,4.8
Principales aperturas,"Productos medicinales, artefactos y equipos para la salud",Noreste,3.4000000000000004
Principales aperturas,"Productos medicinales, artefactos y equipos para la salud",Noroeste,4.0
Principales aperturas,"Productos medicinales, artefactos y equipos para la salud",Cuyo,5.0
Principales aperturas,"Productos medicinales, artefactos y equipos para la salud",Patagonia,2.6
Principales aperturas,Gastos de prepagas,GBA,3.2
Principales aperturas,Gastos de prepagas,Pampeana,1.7999999999999998
Principales aperturas,Gastos de prepagas,Noreste,0.7000000000000001
Principales aperturas,Gastos de prepagas,Noroeste,0.7000000000000001
Principales aperturas,Gastos de prepagas,Cuyo,1.0
Principales aperturas,Gastos de prepagas,Patagonia,0.8
Principales aperturas,Transporte,GBA,11.600000000000001
Principales aperturas,Transporte,Pampeana,10.4
Principales aperturas,Transporte,Noreste,9.6
Principales aperturas,Transporte,Noroeste,8.4
Principales aperturas,Transporte,Cuyo,12.1
Principales aperturas,Transporte,Patagonia,13.4
Principales aperturas,Adquisición de vehículos,GBA,2.5
Principales aperturas,Adquisición de vehículos,Pampeana,2.9000000000000004
Principales aperturas,Adquisición de vehículos,Noreste,2.8000000000000003
Principales aperturas,Adquisición de vehículos,Noroeste,1.6
Principales aperturas,Adquisición de vehículos,Cuyo,3.0
Principales aperturas,Adquisición de vehículos,Patagonia,4.9
Principales aperturas,Funcionamiento de equipos de transporte personal,GBA,5.1
Principales aperturas,Funcionamiento de equipos de transporte personal,Pampeana,5.5
Principales aperturas,Funcionamiento de equipos de transporte personal,Noreste,4.9
Principales aperturas,Funcionamiento de equipos de transporte personal,Noroeste,4.5
Principales aperturas,Funcionamiento de equipos de transporte personal,Cuyo,6.9
Principales aperturas,Funcionamiento de equipos de transporte personal,Patagonia,6.1
Principales aperturas,Combustibles y lubricantes para vehículos de uso del hogar,GBA,3.8
Principales aperturas,Combustibles y lubricantes para vehículos de uso del hogar,Pampeana,4.6
Principales aperturas,Combustibles y lubricantes para vehículos de uso del hogar,Noreste,4.3
Principales aperturas,Combustibles y lubricantes para vehículos de uso del hogar,Noroeste,3.8
Principales aperturas,Combustibles y lubricantes para vehículos de uso del hogar,Cuyo,5.6000000000000005
Principales aperturas,Combustibles y lubricantes para vehículos de uso del hogar,Patagonia,5.1
Principales aperturas,Transporte público,GBA,4.0
Principales aperturas,Transporte público,Pampeana,2.0
Principales aperturas,Transporte público,Noreste,2.0
Principales aperturas,Transporte público,Noroeste,2.3
Principales aperturas,Transporte público,Cuyo,2.3
Principales aperturas,Transporte público,Patagonia,2.4
Principales aperturas,Comunicación,GBA,2.8000000000000003
Principales aperturas,Comunicación,Pampeana,2.9000000000000004
Principales aperturas,Comunicación,Noreste,2.8000000000000003
Principales aperturas,Comunicación,Noroeste,2.6
Principales aperturas,Comunicación,Cuyo,2.5
Principales aperturas,Comunicación,Patagonia,3.2
Principales aperturas,Servicios de telefonía e internet,GBA,2.7
Principales aperturas,Servicios de telefonía e internet,Pampeana,2.8000000000000003
Principales aperturas,Servicios de telefonía e internet,Noreste,2.7
Principales aperturas,Servicios de telefonía e internet,Noroeste,2.5
